id,value
Product_Title.Dove Body.three_Purchased_Title.GearWrenc,1
Product_Title.Dove Body.three_Purchased_Title.Hass Avoc,1
Product_Title.Dove Body.three_Purchased_Title.Medline A,1
Product_Title.Dove Body.three_Purchased_Title.Organic G,1
Product_Title.Dove Body.three_Purchased_Title.PUREOLOGY,1
Product_Title.Dove Body.three_Purchased_Title.Phone Cal,1
Product_Title.Dove Body.three_Purchased_Title.Qtips Cot,1
Product_Title.Dove Body.three_Purchased_Title.Quilted N,1
Product_Title.Dove Body.three_Purchased_Title.Scott Tub,1
Product_Title.Dove Body.three_Purchased_Title.Strawberr,1
Product_Title.Dove Body.three_Purchased_Title.Tide Orig,1
Product_Title.Dove Body.two_Purchased_Title,
Product_Title.Dove Body.two_Purchased_Title.As I Am D,1
Product_Title.Dove Body.two_Purchased_Title.Bananas  ,1
Product_Title.Dove Body.two_Purchased_Title.Colgate T,1
Product_Title.Dove Body.two_Purchased_Title.Crest 3D ,1
Product_Title.Dove Body.two_Purchased_Title.Crest Com,1
Product_Title.Dove Body.two_Purchased_Title.Dove Adva,1
Product_Title.Dove Body.two_Purchased_Title.Franklin ,1
Product_Title.Dove Body.two_Purchased_Title.Gillette ,1
Product_Title.Dove Body.two_Purchased_Title.Hanes Cot,1
Product_Title.Dove Body.two_Purchased_Title.Jergens S,1
Product_Title.Dove Body.two_Purchased_Title.Lucky You,1
Product_Title.Dove Body.two_Purchased_Title.Qtips Cot,1
Product_Title.Dove Body.two_Purchased_Title.Quilted N,1
Product_Title.Dove Body.two_Purchased_Title.ScotchBri,1
Product_Title.Dove Body.two_Purchased_Title.Strawberr,1
Product_Title.Dove Clin,
Product_Title.Dove Clin.one_Purchased_Title,
Product_Title.Dove Clin.one_Purchased_Title.2018 Coll,1
Product_Title.Dove Clin.one_Purchased_Title.Aveeno Ac,1
Product_Title.Dove Clin.one_Purchased_Title.Crest 3D ,1
Product_Title.Dove Clin.one_Purchased_Title.Degree Wo,1
Product_Title.Dove Clin.one_Purchased_Title.Downy Apr,1
Product_Title.Dove Clin.one_Purchased_Title.Olde Thom,1
Product_Title.Dove Clin.one_Purchased_Title.Strawberr,1
Product_Title.Dove Clin.three_Purchased_Title,
Product_Title.Dove Clin.three_Purchased_Title.Always En,1
Product_Title.Dove Clin.three_Purchased_Title.Battle Hy,1
Product_Title.Dove Clin.three_Purchased_Title.Neutrogen,1
Product_Title.Dove Clin.three_Purchased_Title.Organic G,1
Product_Title.Dove Clin.three_Purchased_Title.St Ives F,1
Product_Title.Dove Clin.three_Purchased_Title.This Is M,1
Product_Title.Dove Clin.three_Purchased_Title.You Are a,1
Product_Title.Dove Clin.two_Purchased_Title,
Product_Title.Dove Clin.two_Purchased_Title.Crest 3D ,1
Product_Title.Dove Clin.two_Purchased_Title.Gillette ,1
Product_Title.Dove Clin.two_Purchased_Title.I Remembe,1
Product_Title.Dove Clin.two_Purchased_Title.POLAND SP,1
Product_Title.Dove Clin.two_Purchased_Title.Suave  Co,1
Product_Title.Dove Clin.two_Purchased_Title.Summers E,1
Product_Title.Dove Clin.two_Purchased_Title.Tide Orig,1
Product_Title.Dove Cond,
Product_Title.Dove Cond.one_Purchased_Title,
Product_Title.Dove Cond.one_Purchased_Title.Planters ,1
Product_Title.Dove Cond.three_Purchased_Title,
Product_Title.Dove Cond.three_Purchased_Title.Dove go f,1
Product_Title.Dove Cond.two_Purchased_Title,
Product_Title.Dove Cond.two_Purchased_Title.Glad Food,1
Product_Title.Dove Crea,
Product_Title.Dove Crea.one_Purchased_Title,
Product_Title.Dove Crea.one_Purchased_Title.NIV  Adve,1
Product_Title.Dove Crea.three_Purchased_Title,
Product_Title.Dove Crea.three_Purchased_Title.Learn Exc,1
Product_Title.Dove Crea.two_Purchased_Title,
Product_Title.Dove Crea.two_Purchased_Title.Every Day,1
Product_Title.Dove Derm,
Product_Title.Dove Derm.one_Purchased_Title,
Product_Title.Dove Derm.one_Purchased_Title.Dove Derm,1
Product_Title.Dove Derm.one_Purchased_Title.Sparkle P,1
Product_Title.Dove Derm.three_Purchased_Title,
Product_Title.Dove Derm.three_Purchased_Title.Angel Sof,1
Product_Title.Dove Derm.three_Purchased_Title.Dove Beau,1
Product_Title.Dove Derm.three_Purchased_Title.Dove Derm,1
Product_Title.Dove Derm.two_Purchased_Title,
Product_Title.Dove Derm.two_Purchased_Title.CeraVe Da,1
Product_Title.Dove Derm.two_Purchased_Title.Crest Com,1
Product_Title.Dove Derm.two_Purchased_Title.Dove Derm,1
Product_Title.Dove Dry ,
Product_Title.Dove Dry .one_Purchased_Title,
Product_Title.Dove Dry .one_Purchased_Title.Batiste D,1
Product_Title.Dove Dry .one_Purchased_Title.Degree Wo,1
Product_Title.Dove Dry .one_Purchased_Title.Jason 30 ,1
Product_Title.Dove Dry .one_Purchased_Title.Lalique P,1
Product_Title.Dove Dry .one_Purchased_Title.National ,1
Product_Title.Dove Dry .three_Purchased_Title,
Product_Title.Dove Dry .three_Purchased_Title.Always Ul,1
Product_Title.Dove Dry .three_Purchased_Title.Bais Yaak,1
Product_Title.Dove Dry .three_Purchased_Title.John Frie,1
Product_Title.Dove Dry .three_Purchased_Title.Lady Spee,1
Product_Title.Dove Dry .three_Purchased_Title.Yunus Emr,1
Product_Title.Dove Dry .two_Purchased_Title,
Product_Title.Dove Dry .two_Purchased_Title.Coricidin,1
Product_Title.Dove Dry .two_Purchased_Title.Degree Me,1
Product_Title.Dove Dry .two_Purchased_Title.El Mister,1
Product_Title.Dove Dry .two_Purchased_Title.Paul Mitc,1
Product_Title.Dove Dry .two_Purchased_Title.The Grape,1
Product_Title.Dove Gift,
Product_Title.Dove Gift.one_Purchased_Title,
Product_Title.Dove Gift.one_Purchased_Title.Teach My ,1
Product_Title.Dove Gift.three_Purchased_Title,
Product_Title.Dove Gift.three_Purchased_Title.nan,1
Product_Title.Dove Gift.two_Purchased_Title,
Product_Title.Dove Gift.two_Purchased_Title.Closet Co,1
Product_Title.Dove Men ,
Product_Title.Dove Men .one_Purchased_Title,
Product_Title.Dove Men .one_Purchased_Title.Amlactin ,1
Product_Title.Dove Men .one_Purchased_Title.Angel Sof,1
Product_Title.Dove Men .one_Purchased_Title.Bananas  ,1
Product_Title.Dove Men .one_Purchased_Title.BandAid F,1
Product_Title.Dove Men .one_Purchased_Title.Brawny Pa,1
Product_Title.Dove Men .one_Purchased_Title.Cantaloup,1
Product_Title.Dove Men .one_Purchased_Title.Crest Com,1
Product_Title.Dove Men .one_Purchased_Title.Degree Me,1
Product_Title.Dove Men .one_Purchased_Title.Dole Frui,1
Product_Title.Dove Men .one_Purchased_Title.Dove Body,1
Product_Title.Dove Men .one_Purchased_Title.Dove Men ,1
Product_Title.Dove Men .one_Purchased_Title.Dr Bronne,1
Product_Title.Dove Men .one_Purchased_Title.Frigidair,1
Product_Title.Dove Men .one_Purchased_Title.Gillette ,1
Product_Title.Dove Men .one_Purchased_Title.Glad Clin,1
Product_Title.Dove Men .one_Purchased_Title.Jack Blac,1
Product_Title.Dove Men .one_Purchased_Title.Kraft Mac,1
Product_Title.Dove Men .one_Purchased_Title.Metamucil,1
Product_Title.Dove Men .one_Purchased_Title.Mission  ,1
Product_Title.Dove Men .one_Purchased_Title.OralB Gli,1
Product_Title.Dove Men .one_Purchased_Title.Organic B,1
Product_Title.Dove Men .one_Purchased_Title.Organic G,1
Product_Title.Dove Men .one_Purchased_Title.Ortho 022,1
Product_Title.Dove Men .one_Purchased_Title.Personna ,1
Product_Title.Dove Men .one_Purchased_Title.Philips S,1
Product_Title.Dove Men .one_Purchased_Title.Progresso,1
Product_Title.Dove Men .one_Purchased_Title.Qtips Cot,1
Product_Title.Dove Men .one_Purchased_Title.Quilted N,1
Product_Title.Dove Men .one_Purchased_Title.Sensodyne,1
Product_Title.Dove Men .one_Purchased_Title.Sparkle P,1
Product_Title.Dove Men .one_Purchased_Title.Strawberr,1
Product_Title.Dove Men .one_Purchased_Title.Tazo Swee,1
Product_Title.Dove Men .three_Purchased_Title,
Product_Title.Dove Men .three_Purchased_Title.AXE Body ,1
Product_Title.Dove Men .three_Purchased_Title.Angel Sof,1
Product_Title.Dove Men .three_Purchased_Title.BLUE Wild,1
Product_Title.Dove Men .three_Purchased_Title.Bananas  ,1
Product_Title.Dove Men .three_Purchased_Title.Brawny Pa,1
Product_Title.Dove Men .three_Purchased_Title.CLC 125M ,1
Product_Title.Dove Men .three_Purchased_Title.Clorox Di,1
Product_Title.Dove Men .three_Purchased_Title.Colgate T,1
Product_Title.Dove Men .three_Purchased_Title.Cremo Coo,1
Product_Title.Dove Men .three_Purchased_Title.Crest 3D ,1
Product_Title.Dove Men .three_Purchased_Title.Crest Com,1
Product_Title.Dove Men .three_Purchased_Title.Crest Pro,1
Product_Title.Dove Men .three_Purchased_Title.Dawn Ultr,1
Product_Title.Dove Men .three_Purchased_Title.Degree Me,1
Product_Title.Dove Men .three_Purchased_Title.Dole Frui,1
Product_Title.Dove Men .three_Purchased_Title.Dove Men ,1
Product_Title.Dove Men .three_Purchased_Title.Elon Musk,1
Product_Title.Dove Men .three_Purchased_Title.Gillette ,1
Product_Title.Dove Men .three_Purchased_Title.Gold Toe ,1
Product_Title.Dove Men .three_Purchased_Title.Hass Avoc,1
Product_Title.Dove Men .three_Purchased_Title.Head and ,1
Product_Title.Dove Men .three_Purchased_Title.Hefty Ult,1
Product_Title.Dove Men .three_Purchased_Title.IZZE Spar,1
Product_Title.Dove Men .three_Purchased_Title.Kelloggs ,1
Product_Title.Dove Men .three_Purchased_Title.La RocheP,1
Product_Title.Dove Men .three_Purchased_Title.Lemon  On,1
Product_Title.Dove Men .three_Purchased_Title.Listerine,1
Product_Title.Dove Men .three_Purchased_Title.Mission  ,1
Product_Title.Dove Men .three_Purchased_Title.Morton Co,1
Product_Title.Dove Men .three_Purchased_Title.NIVEA FOR,1
Product_Title.Dove Men .three_Purchased_Title.Nature Va,1
Product_Title.Dove Men .three_Purchased_Title.Nivea for,1
Product_Title.Dove Men .three_Purchased_Title.Nylabone ,1
Product_Title.Dove Men .three_Purchased_Title.Organic B,1
Product_Title.Dove Men .three_Purchased_Title.Qtips Cot,1
Product_Title.Dove Men .three_Purchased_Title.Smuckers ,1
Product_Title.Dove Men .three_Purchased_Title.Strawberr,1
Product_Title.Dove Men .three_Purchased_Title.Tide Orig,1
Product_Title.Dove Men .three_Purchased_Title.all Liqui,1
Product_Title.Dove Men .three_Purchased_Title.nan,1
Product_Title.Dove Men .two_Purchased_Title,
Product_Title.Dove Men .two_Purchased_Title.ACE Brand,1
Product_Title.Dove Men .two_Purchased_Title.Amys Burr,1
Product_Title.Dove Men .two_Purchased_Title.Angel Sof,1
Product_Title.Dove Men .two_Purchased_Title.Aussie Mo,1
Product_Title.Dove Men .two_Purchased_Title.Bagged Ha,1
Product_Title.Dove Men .two_Purchased_Title.Bananas  ,1
Product_Title.Dove Men .two_Purchased_Title.CLIF BAR ,1
Product_Title.Dove Men .two_Purchased_Title.CeraVe Da,1
Product_Title.Dove Men .two_Purchased_Title.Certain D,1
Product_Title.Dove Men .two_Purchased_Title.Colgate E,1
Product_Title.Dove Men .two_Purchased_Title.Colgate T,1
Product_Title.Dove Men .two_Purchased_Title.Crest 3D ,1
Product_Title.Dove Men .two_Purchased_Title.Crest Com,1
Product_Title.Dove Men .two_Purchased_Title.Crest Pro,1
Product_Title.Dove Men .two_Purchased_Title.DUDE Wipe,1
Product_Title.Dove Men .two_Purchased_Title.Degree Me,1
Product_Title.Dove Men .two_Purchased_Title.Dove Men ,1
Product_Title.Dove Men .two_Purchased_Title.Gillette ,1
Product_Title.Dove Men .two_Purchased_Title.Iron Shap,1
Product_Title.Dove Men .two_Purchased_Title.Just BARE,1
Product_Title.Dove Men .two_Purchased_Title.La Croix ,1
Product_Title.Dove Men .two_Purchased_Title.Lime  One,1
Product_Title.Dove Men .two_Purchased_Title.Listerine,1
Product_Title.Dove Men .two_Purchased_Title.NIVEA Men,1
Product_Title.Dove Men .two_Purchased_Title.Neosporin,1
Product_Title.Dove Men .two_Purchased_Title.Neutrogen,1
Product_Title.Dove Men .two_Purchased_Title.Organic B,1
Product_Title.Dove Men .two_Purchased_Title.Qtips Cot,1
Product_Title.Dove Men .two_Purchased_Title.Quaker Oa,1
Product_Title.Dove Men .two_Purchased_Title.Quilted N,1
Product_Title.Dove Men .two_Purchased_Title.Red Bell ,1
Product_Title.Dove Men .two_Purchased_Title.Reynolds ,1
Product_Title.Dove Men .two_Purchased_Title.Ritz Orig,1
Product_Title.Dove Men .two_Purchased_Title.Stoner Re,1
Product_Title.Dove Men .two_Purchased_Title.Strawberr,1
Product_Title.Dove Men .two_Purchased_Title.Wahl 1045,1
Product_Title.Dove Men .two_Purchased_Title.nan,1
Product_Title.Dove Mous,
Product_Title.Dove Mous.one_Purchased_Title,
Product_Title.Dove Mous.one_Purchased_Title.Dove Refr,1
Product_Title.Dove Mous.three_Purchased_Title,
Product_Title.Dove Mous.three_Purchased_Title.Before We,1
Product_Title.Dove Mous.two_Purchased_Title,
Product_Title.Dove Mous.two_Purchased_Title.The Cooki,1
Product_Title.Dove Nour,
Product_Title.Dove Nour.one_Purchased_Title,
Product_Title.Dove Nour.one_Purchased_Title.Dove Body,1
Product_Title.Dove Nour.one_Purchased_Title.ReaLime 1,1
Product_Title.Dove Nour.three_Purchased_Title,
Product_Title.Dove Nour.three_Purchased_Title.Downy Ult,1
Product_Title.Dove Nour.three_Purchased_Title.Neutrogen,1
Product_Title.Dove Nour.two_Purchased_Title,
Product_Title.Dove Nour.two_Purchased_Title.Dove Nutr,1
Product_Title.Dove Nour.two_Purchased_Title.Muir Glen,1
Product_Title.Dove Nutr,
Product_Title.Dove Nutr.one_Purchased_Title,
Product_Title.Dove Nutr.one_Purchased_Title.Bananas  ,1
Product_Title.Dove Nutr.one_Purchased_Title.Celery  M,1
Product_Title.Dove Nutr.one_Purchased_Title.Dove Body,1
Product_Title.Dove Nutr.one_Purchased_Title.Dove Nutr,1
Product_Title.Dove Nutr.one_Purchased_Title.Dove Oxyg,1
Product_Title.Dove Nutr.one_Purchased_Title.Dove go f,1
Product_Title.Dove Nutr.one_Purchased_Title.Duracell ,1
Product_Title.Dove Nutr.one_Purchased_Title.Neutrogen,1
Product_Title.Dove Nutr.one_Purchased_Title.NongShim ,1
Product_Title.Dove Nutr.one_Purchased_Title.Starbucks,1
Product_Title.Dove Nutr.three_Purchased_Title,
Product_Title.Dove Nutr.three_Purchased_Title.Always Al,1
Product_Title.Dove Nutr.three_Purchased_Title.AmazonBas,1
Product_Title.Dove Nutr.three_Purchased_Title.Angel Sof,1
Product_Title.Dove Nutr.three_Purchased_Title.Aveeno Po,1
Product_Title.Dove Nutr.three_Purchased_Title.Biore Dee,1
Product_Title.Dove Nutr.three_Purchased_Title.Bounce Fa,1
Product_Title.Dove Nutr.three_Purchased_Title.Dove Body,1
Product_Title.Dove Nutr.three_Purchased_Title.Dove go f,1
Product_Title.Dove Nutr.three_Purchased_Title.Green Toy,1
Product_Title.Dove Nutr.three_Purchased_Title.HUGGIES S,1
Product_Title.Dove Nutr.three_Purchased_Title.Heinz Tom,1
Product_Title.Dove Nutr.three_Purchased_Title.JennieO  ,1
Product_Title.Dove Nutr.three_Purchased_Title.Neutrogen,1
Product_Title.Dove Nutr.three_Purchased_Title.Organic B,1
Product_Title.Dove Nutr.three_Purchased_Title.PetArmor ,1
Product_Title.Dove Nutr.three_Purchased_Title.Red Bell ,1
Product_Title.Dove Nutr.three_Purchased_Title.Rice Kris,1
Product_Title.Dove Nutr.three_Purchased_Title.Simon vs ,1
Product_Title.Dove Nutr.three_Purchased_Title.Strawberr,1
Product_Title.Dove Nutr.three_Purchased_Title.Thayers A,1
Product_Title.Dove Nutr.three_Purchased_Title.The Whole,1
Product_Title.Dove Nutr.three_Purchased_Title.nan,1
Product_Title.Dove Nutr.two_Purchased_Title,
Product_Title.Dove Nutr.two_Purchased_Title.Amys Pock,1
Product_Title.Dove Nutr.two_Purchased_Title.Bananas  ,1
Product_Title.Dove Nutr.two_Purchased_Title.Clorox Di,1
Product_Title.Dove Nutr.two_Purchased_Title.Dove Body,1
Product_Title.Dove Nutr.two_Purchased_Title.Dove Clin,1
Product_Title.Dove Nutr.two_Purchased_Title.Dove Nutr,1
Product_Title.Dove Nutr.two_Purchased_Title.Dove Refr,1
Product_Title.Dove Nutr.two_Purchased_Title.Gatorade ,1
Product_Title.Dove Nutr.two_Purchased_Title.Glad Zipp,1
Product_Title.Dove Nutr.two_Purchased_Title.Kleenex U,1
Product_Title.Dove Nutr.two_Purchased_Title.Olay Body,1
Product_Title.Dove Nutr.two_Purchased_Title.Old Spice,1
Product_Title.Dove Nutr.two_Purchased_Title.Paris in ,1
Product_Title.Dove Nutr.two_Purchased_Title.Qtips Cot,1
Product_Title.Dove Nutr.two_Purchased_Title.Tide Orig,1
Product_Title.Dove Nutr.two_Purchased_Title.Tweezerma,1
Product_Title.Dove Nutr.two_Purchased_Title.nan,1
Product_Title.Dove Oxyg,
Product_Title.Dove Oxyg.one_Purchased_Title,
Product_Title.Dove Oxyg.one_Purchased_Title.Dove Nutr,1
Product_Title.Dove Oxyg.three_Purchased_Title,
Product_Title.Dove Oxyg.three_Purchased_Title.Rice Chex,1
Product_Title.Dove Oxyg.two_Purchased_Title,
Product_Title.Dove Oxyg.two_Purchased_Title.Dove Nutr,1
Product_Title.Dove Pure,
Product_Title.Dove Pure.one_Purchased_Title,
Product_Title.Dove Pure.one_Purchased_Title.Bananas  ,1
Product_Title.Dove Pure.one_Purchased_Title.Dove Body,1
Product_Title.Dove Pure.one_Purchased_Title.Gillette ,1
Product_Title.Dove Pure.one_Purchased_Title.LOccitane,1
Product_Title.Dove Pure.one_Purchased_Title.Mrs Meyer,1
Product_Title.Dove Pure.one_Purchased_Title.Neutrogen,1
Product_Title.Dove Pure.one_Purchased_Title.Qtips Cot,1
Product_Title.Dove Pure.one_Purchased_Title.Tide Plus,1
Product_Title.Dove Pure.one_Purchased_Title.Ultimate ,1
Product_Title.Dove Pure.three_Purchased_Title,
Product_Title.Dove Pure.three_Purchased_Title.365 Every,1
Product_Title.Dove Pure.three_Purchased_Title.Angel Sof,1
Product_Title.Dove Pure.three_Purchased_Title.BISSELL S,1
Product_Title.Dove Pure.three_Purchased_Title.Clorox Di,1
Product_Title.Dove Pure.three_Purchased_Title.Dove Pure,1
Product_Title.Dove Pure.three_Purchased_Title.LaserJamb,1
Product_Title.Dove Pure.three_Purchased_Title.Skintimat,1
Product_Title.Dove Pure.three_Purchased_Title.Snuggle P,1
Product_Title.Dove Pure.three_Purchased_Title.Strawberr,1
Product_Title.Dove Pure.three_Purchased_Title.nan,1
Product_Title.Dove Pure.two_Purchased_Title,
Product_Title.Dove Pure.two_Purchased_Title.Clorox Di,1
Product_Title.Dove Pure.two_Purchased_Title.Dove Men ,1
Product_Title.Dove Pure.two_Purchased_Title.Dove go f,1
Product_Title.Dove Pure.two_Purchased_Title.Downy Apr,1
Product_Title.Dove Pure.two_Purchased_Title.Kids Are ,1
Product_Title.Dove Pure.two_Purchased_Title.Quilted N,1
Product_Title.Dove Pure.two_Purchased_Title.Snuggle F,1
Product_Title.Dove Pure.two_Purchased_Title.Strawberr,1
Product_Title.Dove Pure.two_Purchased_Title.TONYMOLY ,1
Product_Title.Dove Pure.two_Purchased_Title.The Very ,1
Product_Title.Dove Quen,
Product_Title.Dove Quen.one_Purchased_Title,
Product_Title.Dove Quen.one_Purchased_Title.Glad Clin,1
Product_Title.Dove Quen.three_Purchased_Title,
Product_Title.Dove Quen.three_Purchased_Title.CLIF BAR ,1
Product_Title.Dove Quen.two_Purchased_Title,
Product_Title.Dove Quen.two_Purchased_Title.Secret Cl,1
Product_Title.Dove Refr,
Product_Title.Dove Refr.one_Purchased_Title,
Product_Title.Dove Refr.one_Purchased_Title.Bananas  ,1
Product_Title.Dove Refr.one_Purchased_Title.Not Your ,1
Product_Title.Dove Refr.three_Purchased_Title,
Product_Title.Dove Refr.three_Purchased_Title.Graco Pac,1
Product_Title.Dove Refr.three_Purchased_Title.Lemon  On,1
Product_Title.Dove Refr.two_Purchased_Title,
Product_Title.Dove Refr.two_Purchased_Title.Strawberr,1
Product_Title.Dove Refr.two_Purchased_Title.Suave Pro,1
Product_Title.Dove Sham,
Product_Title.Dove Sham.one_Purchased_Title,
Product_Title.Dove Sham.one_Purchased_Title.Dove Derm,1
Product_Title.Dove Sham.one_Purchased_Title.Dove go f,1
Product_Title.Dove Sham.three_Purchased_Title,
Product_Title.Dove Sham.three_Purchased_Title.Dove Body,1
Product_Title.Dove Sham.three_Purchased_Title.nan,1
Product_Title.Dove Sham.two_Purchased_Title,
Product_Title.Dove Sham.two_Purchased_Title.Crest Com,1
Product_Title.Dove Sham.two_Purchased_Title.Dove Nutr,1
Product_Title.Dove Show,
Product_Title.Dove Show.one_Purchased_Title,
Product_Title.Dove Show.one_Purchased_Title.Crest 3D ,1
Product_Title.Dove Show.one_Purchased_Title.Degree Me,1
Product_Title.Dove Show.three_Purchased_Title,
Product_Title.Dove Show.three_Purchased_Title.Raskullz ,1
Product_Title.Dove Show.three_Purchased_Title.ScotchBri,1
Product_Title.Dove Show.two_Purchased_Title,
Product_Title.Dove Show.two_Purchased_Title.OXO Good ,1
Product_Title.Dove Show.two_Purchased_Title.OralB Gli,1
Product_Title.Dove Supr,
Product_Title.Dove Supr.one_Purchased_Title,
Product_Title.Dove Supr.one_Purchased_Title.Dove Nutr,1
Product_Title.Dove Supr.three_Purchased_Title,
Product_Title.Dove Supr.three_Purchased_Title.Clorox Di,1
Product_Title.Dove Supr.two_Purchased_Title,
Product_Title.Dove Supr.two_Purchased_Title.Dove Nutr,1
Product_Title.Dove go f,
Product_Title.Dove go f.one_Purchased_Title,
Product_Title.Dove go f.one_Purchased_Title.A Short G,1
Product_Title.Dove go f.one_Purchased_Title.Aztec Sec,1
Product_Title.Dove go f.one_Purchased_Title.Bananas  ,1
Product_Title.Dove go f.one_Purchased_Title.Cottonell,1
Product_Title.Dove go f.one_Purchased_Title.DEWALT DW,1
Product_Title.Dove go f.one_Purchased_Title.Dial Liqu,1
Product_Title.Dove go f.one_Purchased_Title.Dove Adva,1
Product_Title.Dove go f.one_Purchased_Title.Dove Body,1
Product_Title.Dove go f.one_Purchased_Title.Downy Apr,1
Product_Title.Dove go f.one_Purchased_Title.Mrs Meyer,1
Product_Title.Dove go f.one_Purchased_Title.Neutrogen,1
Product_Title.Dove go f.one_Purchased_Title.Organic B,1
Product_Title.Dove go f.one_Purchased_Title.Pantene A,1
Product_Title.Dove go f.one_Purchased_Title.Qtips Cot,1
Product_Title.Dove go f.one_Purchased_Title.Quilted N,1
Product_Title.Dove go f.one_Purchased_Title.TUMS Anta,1
Product_Title.Dove go f.one_Purchased_Title.Tide PODS,1
Product_Title.Dove go f.three_Purchased_Title,
Product_Title.Dove go f.three_Purchased_Title.Almond Br,1
Product_Title.Dove go f.three_Purchased_Title.Bagged Ha,1
Product_Title.Dove go f.three_Purchased_Title.Betty Cro,1
Product_Title.Dove go f.three_Purchased_Title.Brawny Pa,1
Product_Title.Dove go f.three_Purchased_Title.Crest 3D ,1
Product_Title.Dove go f.three_Purchased_Title.Crest Com,1
Product_Title.Dove go f.three_Purchased_Title.Dixie To ,1
Product_Title.Dove go f.three_Purchased_Title.Dove Body,1
Product_Title.Dove go f.three_Purchased_Title.Dove Pure,1
Product_Title.Dove go f.three_Purchased_Title.Hass Avoc,1
Product_Title.Dove go f.three_Purchased_Title.PetSafe D,1
Product_Title.Dove go f.three_Purchased_Title.Pete the ,1
Product_Title.Dove go f.three_Purchased_Title.Purina Fr,1
Product_Title.Dove go f.three_Purchased_Title.Qtips Cot,1
Product_Title.Dove go f.three_Purchased_Title.Skintimat,1
Product_Title.Dove go f.three_Purchased_Title.Strawberr,1
Product_Title.Dove go f.three_Purchased_Title.Ziploc St,1
Product_Title.Dove go f.three_Purchased_Title.nan,1
Product_Title.Dove go f.two_Purchased_Title,
Product_Title.Dove go f.two_Purchased_Title.Bananas  ,1
Product_Title.Dove go f.two_Purchased_Title.Brawny Pa,1
Product_Title.Dove go f.two_Purchased_Title.Cork Pops,1
Product_Title.Dove go f.two_Purchased_Title.Crest 3D ,1
Product_Title.Dove go f.two_Purchased_Title.Dove go f,1
Product_Title.Dove go f.two_Purchased_Title.Flat Stan,1
Product_Title.Dove go f.two_Purchased_Title.Hass Avoc,1
Product_Title.Dove go f.two_Purchased_Title.Jason Sea,1
Product_Title.Dove go f.two_Purchased_Title.Method Al,1
Product_Title.Dove go f.two_Purchased_Title.NYC New Y,1
Product_Title.Dove go f.two_Purchased_Title.Pasta Ron,1
Product_Title.Dove go f.two_Purchased_Title.Qtips Cot,1
Product_Title.Dove go f.two_Purchased_Title.Quaker Po,1
Product_Title.Dove go f.two_Purchased_Title.Strawberr,1
Product_Title.Dove go f.two_Purchased_Title.Tide PODS,1
Product_Title.Dove go f.two_Purchased_Title.Ziploc St,1
Product_Title.Dove go f.two_Purchased_Title.nan,1
Product_Title.Dove go s,
Product_Title.Dove go s.one_Purchased_Title,
Product_Title.Dove go s.one_Purchased_Title.EcoTools ,1
Product_Title.Dove go s.three_Purchased_Title,
Product_Title.Dove go s.three_Purchased_Title.Biore Bak,1
Product_Title.Dove go s.two_Purchased_Title,
Product_Title.Dove go s.two_Purchased_Title.St Ives R,1
Product_Title.Hellmanns,
Product_Title.Hellmanns.one_Purchased_Title,
Product_Title.Hellmanns.one_Purchased_Title.API FRESH,1
Product_Title.Hellmanns.one_Purchased_Title.BUMBLE BE,1
Product_Title.Hellmanns.one_Purchased_Title.Bananas  ,1
Product_Title.Hellmanns.one_Purchased_Title.Excellant,1
Product_Title.Hellmanns.one_Purchased_Title.Hass Avoc,1
Product_Title.Hellmanns.one_Purchased_Title.Heinz Swe,1
Product_Title.Hellmanns.one_Purchased_Title.Heinz Tom,1
Product_Title.Hellmanns.one_Purchased_Title.Heyday 35,1
Product_Title.Hellmanns.one_Purchased_Title.Lime  One,1
Product_Title.Hellmanns.one_Purchased_Title.Neutrogen,1
Product_Title.Hellmanns.one_Purchased_Title.Organic B,1
Product_Title.Hellmanns.one_Purchased_Title.Organic V,1
Product_Title.Hellmanns.one_Purchased_Title.Oscar May,1
Product_Title.Hellmanns.one_Purchased_Title.Quilted N,1
Product_Title.Hellmanns.one_Purchased_Title.StarKist ,1
Product_Title.Hellmanns.one_Purchased_Title.Swedish F,1
Product_Title.Hellmanns.one_Purchased_Title.Touching ,1
Product_Title.Hellmanns.three_Purchased_Title,
Product_Title.Hellmanns.three_Purchased_Title.Amazon Br,1
Product_Title.Hellmanns.three_Purchased_Title.Bananas  ,1
Product_Title.Hellmanns.three_Purchased_Title.Chicken o,1
Product_Title.Hellmanns.three_Purchased_Title.Glad Odor,1
Product_Title.Hellmanns.three_Purchased_Title.Hass Avoc,1
Product_Title.Hellmanns.three_Purchased_Title.Heinz Tom,1
Product_Title.Hellmanns.three_Purchased_Title.Hidden Va,1
Product_Title.Hellmanns.three_Purchased_Title.Hunts Tom,1
Product_Title.Hellmanns.three_Purchased_Title.Just BARE,1
Product_Title.Hellmanns.three_Purchased_Title.Lemon  On,1
Product_Title.Hellmanns.three_Purchased_Title.Lime  One,1
Product_Title.Hellmanns.three_Purchased_Title.Mission  ,1
Product_Title.Hellmanns.three_Purchased_Title.Omega One,1
Product_Title.Hellmanns.three_Purchased_Title.Organic B,1
Product_Title.Hellmanns.three_Purchased_Title.Organic H,1
Product_Title.Hellmanns.three_Purchased_Title.Peanut Bu,1
Product_Title.Hellmanns.three_Purchased_Title.Quaker Oa,1
Product_Title.Hellmanns.three_Purchased_Title.Russet Po,1
